"","PlayerName","NorwichclubCountryTM","NorwichAge","Value2017","Value2016","Value2015","Value2019","Value2018","Predicted"
"3","Christoph Zimmermann","Germany","Jan 12, 1993 (26)",225000,158000,158000,1350000,675000,1898718.01311546
"5","Emiliano Buendía","Argentina","Dec 25, 1996 (22)",450000,450000,450000,2250000,2250000,2784631.67807865
"6","Felix Passlack","Germany","May 29, 1998 (20)",2250000,2700000,450000,1350000,2250000,1954031.40090656
"7","Grant Hanley","Scotland","Nov 20, 1991 (27)",4050000,2250000,2250000,3150000,3600000,3457411.61819299
"10","Jordan Rhodes","Scotland","Feb 5, 1990 (29)",7200000,9e+06,9e+06,4500000,5400000,3944829.15464715
"11","Kenny McLean","Scotland","Jan 8, 1992 (27)",540000,540000,585000,585000,585000,1297393.70642321
"12","Louis Thompson","Wales","Dec 19, 1994 (24)",225000,450000,450000,225000,225000,1019505.73923147
"14","Mario Vrancic","Bosnia-Herzegovina","May 23, 1989 (29)",1130000,9e+05,1800000,1800000,1350000,1974510.67639966
"15","Max Aarons","England","Jan 4, 2000 (19)",150000,0,0,4500000,225000,1083184.25358485
"17","Moritz Leitner","Germany","Dec 8, 1992 (26)",1260000,1350000,3150000,9e+05,675000,1543224.54877948
"20","Teemu Pukki","Finland","Mar 29, 1990 (28)",1800000,1580000,1800000,3600000,2250000,3498305.6662483
"21","Tim Krul","Netherlands","Apr 3, 1988 (30)",3600000,7200000,7200000,1800000,2250000,1685980.83794823
"22","Timm Klose","Switzerland","May 9, 1988 (30)",4950000,3600000,3600000,3150000,3600000,3141440.46620386
"23","Todd Cantwell","England","Feb 27, 1998 (21)",68000,0,0,675000,113000,995404.678634657
"24","Tom Trybull","Germany","Mar 9, 1993 (26)",450000,450000,540000,675000,675000,1381154.45293599
