"","PlayerName","StokeclubCountryTM","StokeAge","Value2017","Value2016","Value2015","Value2019","Value2018","Predicted"
"1","Adam Federici","Australia","Jan 31, 1985 (34)",9e+05,9e+05,9e+05,675000,9e+05,1622502.84317946
"2","Ashley Williams","Wales","Aug 23, 1984 (34)",7200000,7200000,5850000,2250000,3150000,3615024.6259755
"3","Benik Afobe","DR Congo","Feb 12, 1993 (26)",9e+06,8100000,6300000,9e+06,9e+06,8563249.94623621
"4","Bojan Krkic","Spain","Aug 28, 1990 (28)",7200000,9e+05,6300000,1350000,2250000,805154.521790747
"5","Bruno Martins Indi","Netherlands","Feb 8, 1992 (27)",9e+06,9e+06,10350000,7200000,9e+06,7434153.0550424
"6","Charlie Adam","Scotland","Dec 10, 1985 (33)",3150000,4050000,3600000,1350000,1800000,2206405.35923592
"7","Danny Batth","England","Sep 21, 1990 (28)",9e+05,9e+05,9e+05,2250000,9e+05,1622502.84317946
"8","Darren Fletcher","Scotland","Feb 1, 1984 (35)",1800000,1800000,1800000,1350000,1800000,2271703.60874996
"9","Jack Butland","England","Mar 10, 1993 (26)",13500000,8100000,3150000,16200000,19800000,16362633.0546911
"10","Jakob Haugaard","Denmark","May 1, 1992 (26)",675000,9e+05,675000,450000,450000,1347102.5133625
"11","James McClean","Ireland","Apr 22, 1989 (29)",2700000,2700000,2700000,4500000,2700000,2920904.37432047
"12","Joe Allen","Wales","Mar 14, 1990 (29)",13500000,10800000,9e+06,13500000,16200000,13138331.4952294
"13","Josh Tymon","England","May 22, 1999 (19)",9e+05,450000,0,1350000,1800000,2662769.13264682
"14","Mame Diouf","Senegal","Dec 16, 1987 (31)",6300000,7200000,8100000,4500000,6300000,4874501.56057272
"17","Ryan Shawcross","England","Oct 4, 1987 (31)",9900000,8100000,8100000,6300000,9e+06,7772790.22570663
"23","Tom Ince","England","Jan 30, 1992 (27)",6300000,9e+06,5850000,9e+06,7200000,7262526.34976664
